184,1605,1480,1610,1480,1688,184,1684
530,1459,1430,1459,1430,1538,530,1539
1272,2199,1480,2199,1480,2273,1272,2274
728,1164,1233,1167,1232,1251,728,1248
184,2196,540,2194,540,2265,185,2267
1272,2050,1480,2050,1480,2132,1272,2132
183,2555,837,2547,837,2621,185,2628
183,2270,392,2268,392,2344,185,2346
184,1680,1084,1679,1084,1763,184,1764
184,2481,540,2481,540,2553,184,2553
580,1312,1381,1311,1381,1391,580,1392
184,1826,738,1827,738,1908,184,1907
184,1973,540,1973,540,2052,184,2052
184,2049,590,2047,590,2126,185,2128
1272,2266,1482,2270,1478,2351,1272,2347
1272,1976,1430,1976,1430,2055,1272,2055
1271,1829,1430,1826,1430,1909,1273,1911
1271,2615,1480,2613,1480,2679,1273,2680
629,1244,1381,1240,1381,1323,630,1327
183,2343,392,2339,392,2411,185,2415
183,2617,639,2611,639,2682,185,2688
530,1094,1430,1094,1430,1180,530,1179
1222,2549,1480,2548,1480,2616,1223,2617
1025,443,1193,450,1173,660,1025,654
283,1384,1629,1391,1628,1472,283,1466
528,817,1430,799,1430,952,533,970
1074,706,1287,716,1277,818,1074,809
629,2335,888,2339,885,2418,629,2414
