1144,2210,1342,2207,1342,2282,1147,2286
1295,2445,1382,2448,1378,2518,1295,2516
359,1085,1305,1062,1305,1143,362,1166
1108,1898,1342,1897,1342,1969,1109,1970
23,2319,745,2304,745,2371,26,2386
1106,1515,1342,1508,1342,1584,1110,1591
434,938,1230,919,1230,996,437,1015
0,1466,745,1449,745,1526,0,1542
1143,2610,1380,2603,1380,2689,1148,2696
0,1541,595,1536,595,1610,0,1616
1107,1666,1305,1663,1305,1735,1109,1738
0,1693,632,1686,632,1761,0,1769
546,789,1081,778,1081,854,549,866
0,2626,483,2621,483,2705,0,2710
1107,1744,1342,1739,1342,1813,1110,1818
0,1619,745,1605,745,1680,0,1694
1144,2528,1380,2523,1380,2602,1147,2607
1108,1976,1343,1976,1342,2046,1108,2045
0,2005,446,1997,446,2073,0,2082
0,2159,371,2150,371,2230,0,2240
0,1923,371,1918,371,2001,0,2007
0,2475,408,2469,408,2539,0,2545
98,1016,1417,990,1417,1068,100,1093
359,712,1268,689,1268,771,362,795
434,866,1193,846,1193,923,437,943
0,2554,707,2539,707,2616,0,2632
0,1768,707,1761,707,1837,0,1844
0,1241,1305,1216,1305,1292,0,1317
0,2239,259,2240,258,2314,0,2313
959,319,1043,319,1043,398,959,398
0,1319,969,1299,969,1371,0,1391
735,88,935,92,927,252,735,248
1107,2130,1342,2127,1342,2197,1109,2201
607,229,707,220,707,400,638,405
396,428,1230,415,1230,548,400,561
