140,837,984,916,960,969,140,893
140,1129,553,1163,538,1219,140,1187
109,1424,336,1435,330,1487,109,1477
109,1571,305,1579,299,1637,109,1629
414,619,885,642,877,701,414,677
140,986,522,1016,509,1067,140,1038
475,576,823,590,817,647,475,633
353,759,920,805,903,862,353,817
79,1818,528,1871,502,1928,79,1879
109,1273,492,1306,477,1359,109,1328
414,670,885,695,877,749,414,725
140,1082,491,1109,479,1162,140,1136
140,1036,582,1065,571,1120,140,1092
109,1320,431,1347,417,1402,109,1375
109,1672,216,1681,205,1732,109,1724
109,1625,242,1627,241,1681,109,1679
780,1062,942,1062,942,1118,780,1118
79,1770,342,1800,323,1851,79,1823
140,1223,555,1264,536,1317,140,1278
79,1866,373,1897,353,1955,79,1926
780,1169,912,1170,911,1226,780,1225
780,1428,912,1430,911,1491,780,1490
780,1273,913,1275,910,1332,780,1330
109,1174,524,1213,507,1268,109,1230
442,336,790,323,790,409,447,421
140,886,707,938,689,990,140,940
384,519,945,538,939,599,384,580
109,1474,367,1488,359,1545,109,1531
749,1534,918,1548,904,1610,749,1597
749,1950,901,1982,861,2044,749,2021
519,155,790,75,790,212,553,281
353,1702,552,1718,540,1773,353,1758
749,1582,926,1612,897,1661,749,1635
201,703,1102,766,1086,823,201,762
840,1701,916,1705,907,1773,840,1769
776,1392,911,1383,911,1444,783,1453
