362,757,986,761,985,830,362,826
873,1616,1054,1616,1054,1682,874,1683
873,1500,1054,1500,1054,1566,873,1566
839,1797,1055,1801,1053,1861,839,1857
294,932,1056,950,1052,1021,294,1003
839,1971,1058,1982,1050,2045,839,2034
873,1379,1054,1379,1054,1444,874,1444
873,1258,1054,1259,1054,1319,873,1319
0,1424,577,1415,577,1481,0,1491
873,2269,1056,2275,1051,2342,873,2336
0,1244,509,1244,509,1307,0,1307
839,1857,1055,1861,1053,1925,839,1921
873,1682,1054,1682,1054,1743,873,1743
839,2030,1058,2042,1050,2104,839,2092
362,821,987,828,985,892,362,885
20,2280,543,2229,543,2297,23,2348
294,632,1054,635,1054,708,294,705
0,1794,304,1778,304,1838,0,1853
0,1607,509,1594,509,1656,0,1669
19,2338,372,2303,372,2365,24,2400
0,1667,406,1652,406,1715,0,1729
0,1483,543,1475,543,1542,0,1549
0,1307,577,1298,577,1363,0,1372
0,1366,509,1355,509,1422,0,1433
0,1546,577,1531,577,1595,0,1610
430,696,884,700,883,769,430,765
21,2031,202,2031,202,2095,21,2095
90,876,1260,898,1257,966,90,944
873,2331,1021,2334,1018,2398,873,2394
0,1122,747,1126,747,1188,0,1184
635,74,805,98,757,237,635,220
0,1972,304,1960,304,2024,0,2036
0,2219,304,2203,304,2264,0,2280
19,2097,100,2095,100,2163,24,2165
463,384,849,378,849,484,466,489
362,2053,578,2057,575,2120,362,2116
0,1850,338,1839,338,1899,0,1910
0,1056,1090,1077,1086,1140,0,1119
480,173,577,162,577,326,518,332
