32,1827,806,1826,806,1911,32,1912
32,1592,671,1594,671,1673,32,1670
32,1667,806,1667,806,1751,32,1751
1155,2383,1390,2382,1390,2464,1156,2465
1155,2542,1390,2541,1390,2616,1156,2618
32,2300,401,2301,401,2382,32,2381
32,2137,537,2140,535,2228,32,2225
32,1978,761,1983,760,2069,32,2064
481,1038,1300,1035,1300,1119,481,1121
32,2617,268,2622,264,2702,32,2698
32,2935,762,2942,760,3023,32,3016
32,3009,491,3010,491,3094,32,3094
32,1904,716,1906,715,1994,32,1992
481,956,1300,952,1300,1042,482,1046
616,877,1166,880,1165,968,616,966
436,801,1390,797,1390,882,436,886
1155,2936,1390,2936,1390,3016,1155,3016
391,1194,1390,1191,1390,1279,392,1283
32,2860,447,2864,445,2940,32,2936
32,1434,1030,1434,1030,1512,32,1512
32,1351,1435,1351,1435,1435,32,1435
32,2062,671,2063,671,2147,32,2146
1155,1591,1390,1590,1390,1671,1156,1671
31,1748,671,1747,671,1830,32,1831
1200,1747,1390,1748,1390,1828,1200,1828
31,2696,266,2694,266,2778,32,2780
569,491,1210,483,1210,614,573,622
1110,2303,1390,2301,1390,2379,1111,2382
1155,3018,1390,3018,1390,3098,1155,3098
1110,2622,1390,2620,1390,2699,1111,2702
1155,1905,1390,1905,1390,1984,1155,1984
0,2378,446,2380,446,2459,0,2458
1154,2062,1390,2059,1390,2145,1157,2148
700,221,806,218,806,414,712,417
1155,2138,1390,2136,1390,2221,1156,2223
121,1118,1660,1115,1660,1200,122,1203
0,2539,401,2538,401,2615,0,2616
436,2707,761,2706,761,2779,436,2779
1020,388,1120,388,1120,479,1020,479
841,128,1038,137,1023,284,841,276
